#,Company,Symbol,Weight,Price,Chg,% Chg
35,Accenture Plc Class A,ACN,0.508034,265.99,-5.24,(-1.93%)
36,Danaher Corporation,DHR,0.492434,249.19,-3.32,(-1.31%)
37,Salesforce Inc.,CRM,0.488526,160.78,-3.35,(-2.04%)
38,Linde plc,LIN,0.488417,341.29,9.4,(2.83%)
39,Comcast Corporation Class A,CMCSA,0.483981,37.06,-0.64,(-1.68%)
40,Adobe Incorporated,ADBE,0.481755,322.68,-24.34,(-7.01%)
41,Verizon Communications Inc.,VZ,0.481676,38.46,-0.08,(-0.19%)
42,Texas Instruments Incorporated,TXN,0.465754,168.91,-2.91,(-1.69%)
43,Philip Morris International Inc.,PM,0.460652,98.51,-1.32,(-1.32%)
44,Bristol-Myers Squibb Company,BMY,0.451668,70.14,-1.26,(-1.76%)
45,NIKE Inc. Class B,NKE,0.44962,118.15,-1.81,(-1.51%)
46,Raytheon Technologies Corporation,RTX,0.436419,98.54,-1.1,(-1.10%)
47,NextEra Energy Inc.,NEE,0.43103,73.01,0.14,(0.19%)
48,Netflix Inc.,NFLX,0.428717,316.25,-7.4,(-2.29%)
49,QUALCOMM Incorporated,QCOM,0.420372,123.33,-2.87,(-2.27%)
50,AT&T Inc.,T,0.410499,19.22,-0.13,(-0.67%)
51,Oracle Corporation,ORCL,0.405213,88.0,-0.58,(-0.65%)
52,ConocoPhillips,COP,0.391048,104.5,-0.93,(-0.88%)
53,United Parcel Service Inc. Class B,UPS,0.390122,179.73,-0.21,(-0.12%)
54,Honeywell International Inc.,HON,0.3897,191.42,-3.6,(-1.85%)
55,Morgan Stanley,MS,0.384321,97.66,-0.28,(-0.29%)
56,Advanced Micro Devices Inc.,AMD,0.382098,77.66,-2.09,(-2.62%)
57,Amgen Inc.,AMGN,0.377023,234.3,-3.32,(-1.40%)
58,Lowe's Companies Inc.,LOW,0.373617,201.05,-1.16,(-0.57%)
59,Caterpillar Inc.,CAT,0.368586,235.71,-2.24,(-0.94%)
60,Goldman Sachs Group Inc.,GS,0.367955,362.78,-0.76,(-0.21%)
61,Charles Schwab Corp,SCHW,0.35764,80.77,1.8,(2.27%)
62,Union Pacific Corporation,UNP,0.353778,192.85,-0.48,(-0.25%)
63,Starbucks Corporation,SBUX,0.353683,101.05,-2.46,(-2.38%)
64,International Business Machines Corporation,IBM,0.35199,129.97,-0.82,(-0.63%)
65,Deere & Company,DE,0.347538,418.29,-6.76,(-1.59%)
66,Boeing Company,BA,0.347087,198.35,-9.78,(-4.70%)
67,Elevance Health Inc.,ELV,0.346169,483.03,-3.09,(-0.64%)
68,Intuit Inc.,INTU,0.345561,422.19,10.31,(2.50%)
69,S&P Global Inc.,SPGI,0.345078,343.69,-4.44,(-1.28%)
70,Prologis Inc.,PLD,0.340742,121.42,-2.59,(-2.09%)
71,CVS Health Corporation,CVS,0.339764,85.66,-1.21,(-1.39%)
72,Lockheed Martin Corporation,LMT,0.332608,478.44,-0.64,(-0.13%)
73,Medtronic Plc,MDT,0.332297,82.8,-1.19,(-1.41%)
74,Intel Corporation,INTC,0.314607,25.0,-0.61,(-2.38%)
75,American Express Company,AXP,0.311605,173.67,-1.47,(-0.84%)
76,BlackRock Inc.,BLK,0.309412,687.86,-3.98,(-0.58%)
77,Gilead Sciences Inc.,GILD,0.308162,81.39,-1.15,(-1.39%)
78,Citigroup Inc.,C,0.290451,50.13,-0.25,(-0.50%)
79,Applied Materials Inc.,AMAT,0.289142,111.03,-1.88,(-1.67%)
80,Analog Devices Inc.,ADI,0.28639,182.73,-2.93,(-1.58%)
81,Booking Holdings Inc.,BKNG,0.280192,2435.88,9.39,(0.39%)
82,American Tower Corporation,AMT,0.279906,195.45,-6.51,(-3.22%)
83,Automatic Data Processing Inc.,ADP,0.274498,220.88,-1.9,(-0.85%)
84,TJX Companies Inc,TJX,0.270065,77.02,-0.73,(-0.94%)
85,General Electric Company,GE,0.268902,83.11,0.17,(0.20%)
86,Mondelez International Inc. Class A,MDLZ,0.268615,65.23,-0.84,(-1.27%)
87,Cigna Group,CI,0.268152,294.87,0.22,(0.07%)
88,ServiceNow Inc.,NOW,0.264685,428.53,-13.18,(-2.98%)
89,Stryker Corporation,SYK,0.262985,259.67,-3.68,(-1.40%)
90,T-Mobile US Inc.,TMUS,0.258485,143.94,-0.79,(-0.55%)
91,Chubb Limited,CB,0.258448,209.33,0.73,(0.35%)
92,PayPal Holdings Inc.,PYPL,0.255158,73.69,-1.51,(-2.00%)
93,Altria Group Inc,MO,0.253808,47.2,-0.31,(-0.65%)
94,Intuitive Surgical Inc.,ISRG,0.248625,230.91,-3.99,(-1.70%)
95,Progressive Corporation,PGR,0.24793,141.8,-0.56,(-0.39%)
96,Marsh & McLennan Companies Inc.,MMC,0.242571,162.44,-1.44,(-0.88%)
97,Regeneron Pharmaceuticals Inc.,REGN,0.241374,760.89,1.23,(0.16%)
98,Zoetis Inc. Class A,ZTS,0.235135,165.39,-4.11,(-2.42%)
99,Target Corporation,TGT,0.227678,165.93,0.43,(0.26%)
100,Schlumberger NV,SLB,0.225055,53.17,-0.15,(-0.28%)
101,Vertex Pharmaceuticals Incorporated,VRTX,0.223536,288.33,-4.24,(-1.45%)
102,Duke Energy Corporation,DUK,0.221981,96.55,-0.29,(-0.30%)
103,Fiserv Inc.,FISV,0.22113,115.03,-1.51,(-1.30%)
104,Southern Company,SO,0.209793,64.26,-0.48,(-0.74%)
105,EOG Resources Inc.,EOG,0.208982,113.73,-5.81,(-4.86%)
106,Northrop Grumman Corp.,NOC,0.205241,471.48,-4.78,(-1.00%)
107,Eaton Corp. Plc,ETN,0.204113,171.96,-0.82,(-0.47%)
108,Becton Dickinson and Company,BDX,0.202763,236.57,-3.15,(-1.31%)
109,Boston Scientific Corporation,BSX,0.201153,46.73,-0.45,(-0.95%)
110,CME Group Inc. Class A,CME,0.200342,186.7,-0.4,(-0.21%)
111,Lam Research Corporation,LRCX,0.197212,476.74,-8.64,(-1.78%)
112,Illinois Tool Works Inc.,ITW,0.195485,232.23,-1.66,(-0.71%)
113,Equinix Inc.,EQIX,0.194556,688.38,-17.95,(-2.54%)
114,Humana Inc.,HUM,0.192467,510.66,0.01,(0.00%)
115,CSX Corporation,CSX,0.191811,30.61,-0.05,(-0.15%)
116,U.S. Bancorp,USB,0.191367,47.52,-0.2,(-0.42%)
117,Micron Technology Inc.,MU,0.19012,57.61,-1.15,(-1.95%)
118,PNC Financial Services Group Inc.,PNC,0.189804,157.75,-0.35,(-0.22%)
119,Aon Plc Class A,AON,0.187482,303.61,-0.87,(-0.29%)
120,Air Products and Chemicals Inc.,APD,0.184674,279.43,-0.29,(-0.10%)
121,Truist Financial Corporation,TFC,0.184349,46.72,0.04,(0.09%)
122,Colgate-Palmolive Company,CL,0.182539,73.17,-0.49,(-0.67%)
123,3M Company,MMM,0.179189,107.47,-1.44,(-1.32%)
124,Marathon Petroleum Corporation,MPC,0.1751,124.06,-1.46,(-1.16%)
125,Crown Castle Inc.,CCI,0.173056,130.99,-3.27,(-2.44%)
126,Freeport-McMoRan Inc.,FCX,0.172158,39.6,-0.99,(-2.44%)
127,Intercontinental Exchange Inc.,ICE,0.171687,102.83,-0.93,(-0.90%)
128,Estee Lauder Companies Inc. Class A,EL,0.171094,243.26,-6.4,(-2.56%)
129,Waste Management Inc.,WM,0.168487,151.07,0.09,(0.06%)
130,General Motors Company,GM,0.165986,38.97,-0.28,(-0.71%)
131,Synopsys Inc.,SNPS,0.165418,360.94,-4.54,(-1.24%)
132,KLA Corporation,KLAC,0.163365,378.98,-9.39,(-2.42%)
133,Activision Blizzard Inc.,ATVI,0.162729,76.76,-0.31,(-0.40%)
134,HCA Healthcare Inc,HCA,0.161004,247.86,-4.12,(-1.64%)
