Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
LNT,52.72,52.66,0.00 x 800,0.00 x 900,52.48 - 53.21,47.19 - 65.37,"1,873,434","1,578,600",,,,,,,
POOL,339.25,341.33,0.00 x 1000,0.00 x 900,327.16 - 341.60,278.10 - 473.98,"315,871","431,073",,,,,,,
PKG,140.30,140.28,0.00 x 800,0.00 x 900,138.24 - 141.28,110.56 - 168.50,"1,128,607","755,646",,,,,,,
SNA,246.64,247.00,233.67 x 800,0.00 x 800,236.21 - 247.00,190.08 - 259.78,"260,023","303,916",,,,,,,
IP,35.96,35.99,0.00 x 1800,0.00 x 1200,35.04 - 36.05,30.69 - 50.23,"2,488,050","3,171,583",,,,,,,
SYF,29.38,29.66,0.00 x 1100,0.00 x 1400,28.48 - 29.79,27.15 - 41.88,"5,791,035","5,830,978",,,,,,,
TRMB,51.75,51.65,0.00 x 900,0.00 x 800,50.09 - 52.03,47.09 - 73.17,"1,155,080","1,285,666",,,,,,,
STX,65.75,65.86,0.00 x 1300,0.00 x 900,64.65 - 65.93,47.47 - 88.25,"1,841,591","2,559,681",,,,,,,
WRB,62.84,63.00,0.00 x 900,0.00 x 900,61.54 - 63.04,58.92 - 76.99,"830,645","1,508,453",,,,,,,
APA,39.20,39.59,0.00 x 1200,0.00 x 1000,37.49 - 39.59,30.15 - 51.95,"8,775,257","6,141,978",,,,,,,
LDOS,93.20,93.15,0.00 x 1000,0.00 x 1000,91.11 - 93.64,87.24 - 111.12,"813,787","937,466",,,,,,,
UDR,40.91,40.91,40.62 x 1100,40.64 x 900,40.24 - 41.03,37.18 - 60.01,"1,602,649","2,492,175",,,,,,,
AKAM,77.88,77.88,0.00 x 900,0.00 x 900,77.13 - 77.99,70.65 - 123.25,"1,040,875","1,728,305",,,,,,,
WDC,37.20,37.10,0.00 x 1300,0.00 x 1400,35.65 - 37.23,29.73 - 63.26,"3,610,156","4,357,503",,,,,,,
PEAK,21.72,21.80,0.00 x 3200,0.00 x 2200,21.42 - 21.85,20.21 - 35.72,"3,488,604","4,591,641",,,,,,,
KIM,19.47,19.55,0.00 x 800,0.00 x 3000,19.09 - 19.58,17.34 - 26.57,"3,122,082","4,853,766",,,,,,,
DPZ,332.52,331.09,0.00 x 800,0.00 x 800,326.78 - 333.14,291.00 - 426.44,"657,662","840,163",,,,,,,
WYNN,113.33,112.80,0.00 x 900,0.00 x 1000,110.50 - 112.80,50.20 - 117.17,"2,255,736","2,533,770",,,,,,,
NDSN,220.31,219.77,0.00 x 900,0.00 x 800,213.81 - 220.00,194.89 - 251.26,"165,838","277,153",,,,,,,
TFX,251.84,252.52,256.08 x 800,0.00 x 800,252.01 - 256.42,182.65 - 349.39,"183,963","345,291",,,,,,,
SWK,79.44,79.92,0.00 x 800,0.00 x 800,76.38 - 79.93,70.24 - 147.37,"1,216,375","1,917,580",,,,,,,
VTRS,9.61,9.69,0.00 x 3200,0.00 x 1100,9.37 - 9.71,8.42 - 12.40,"12,547,240","9,519,828",,,,,,,
HST,16.28,16.32,0.00 x 3200,0.00 x 4000,15.98 - 16.36,14.51 - 21.63,"5,528,056","7,638,378",,,,,,,
HRL,40.42,40.45,0.00 x 1400,0.00 x 1300,40.45 - 40.97,37.78 - 55.11,"3,767,901","2,010,053",,,,,,,
TECH,73.76,73.94,0.00 x 800,0.00 x 800,73.47 - 74.88,68.00 - 113.81,"798,689","992,588",,,,,,,
BWA,48.70,48.69,0.00 x 800,0.00 x 1400,47.19 - 48.92,31.14 - 51.14,"2,330,100","2,070,003",,,,,,,
EQT,31.80,32.06,0.00 x 1400,0.00 x 4000,31.37 - 32.57,28.11 - 51.97,"6,520,000","7,006,403",,,,,,,
KEY,12.37,12.45,0.00 x 900,0.00 x 1400,11.57 - 12.47,9.61 - 22.17,"27,473,349","20,599,355",,,,,,,
BF.B,,,,,,,,,,,,,,,
CPT,103.80,104.27,0.00 x 800,0.00 x 900,102.80 - 104.27,97.74 - 175.69,"593,721","915,325",,,,,,,
CHRW,97.01,97.17,0.00 x 800,0.00 x 800,94.27 - 97.62,86.60 - 121.23,"1,039,875","1,473,376",,,,,,,
CTLT,62.92,63.00,0.00 x 900,0.00 x 800,62.22 - 63.74,40.69 - 115.33,"1,417,017","2,338,921",,,,,,,
MAS,49.91,49.87,0.00 x 800,0.00 x 900,47.73 - 50.08,42.33 - 58.18,"2,137,648","1,902,148",,,,,,,
L,57.59,57.77,56.11 x 800,0.00 x 1100,55.85 - 57.79,49.36 - 68.20,"778,261","906,076",,,,,,,
NI,27.76,27.80,0.00 x 1400,0.00 x 1200,27.58 - 27.87,23.78 - 32.59,"2,549,269","3,994,576",,,,,,,
CDAY,73.22,73.57,0.00 x 900,0.00 x 1400,72.15 - 73.79,43.23 - 79.66,"1,345,861","1,196,165",,,,,,,
CPB,55.15,55.21,0.00 x 800,0.00 x 900,54.51 - 55.44,44.35 - 57.78,"1,849,485","2,429,161",,,,,,,
HSIC,81.83,82.12,0.00 x 900,0.00 x 800,81.77 - 82.54,64.75 - 92.68,"840,819","880,410",,,,,,,
JNPR,34.43,34.42,0.00 x 1400,0.00 x 1300,34.06 - 34.46,25.18 - 37.18,"2,820,827","3,755,528",,,,,,,
JKHY,150.59,150.57,0.00 x 800,0.00 x 900,147.76 - 150.70,139.28 - 212.62,"451,902","615,030",,,,,,,
PARA,21.79,21.84,0.00 x 1100,0.00 x 3100,21.42 - 21.95,15.29 - 37.00,"9,940,259","11,356,656",,,,,,,
CE,109.09,109.09,0.00 x 1100,0.00 x 900,105.34 - 109.09,86.71 - 161.37,"1,178,963","1,140,316",,,,,,,
MTCH,38.45,38.69,0.00 x 900,0.00 x 800,36.96 - 39.17,34.62 - 106.66,"4,605,524","4,191,648",,,,,,,
FOXA,34.18,34.26,0.00 x 1400,0.00 x 1100,33.63 - 34.44,28.01 - 40.12,"2,516,334","2,908,793",,,,,,,
CZR,49.28,49.67,0.00 x 800,0.00 x 900,47.39 - 49.80,31.31 - 75.78,"2,710,318","3,052,530",,,,,,,
KMX,64.58,64.92,0.00 x 900,0.00 x 800,62.84 - 65.00,52.10 - 106.24,"1,961,228","2,303,240",,,,,,,
QRVO,100.87,101.01,0.00 x 800,0.00 x 800,96.46 - 101.35,75.38 - 121.27,"888,243","1,319,316",,,,,,,
TPR,42.89,42.74,0.00 x 800,0.00 x 800,41.87 - 42.89,26.39 - 47.48,"2,151,905","3,352,700",,,,,,,
CRL,200.26,201.09,0.00 x 1200,0.00 x 800,197.01 - 201.10,181.36 - 308.15,"316,236","584,560",,,,,,,
EMN,84.41,84.14,0.00 x 800,0.00 x 1000,81.39 - 84.14,69.91 - 113.34,"1,026,880","1,042,345",,,,,,,
CCL,9.97,10.07,0.00 x 1400,0.00 x 4000,9.55 - 10.12,6.11 - 20.63,"36,175,265","41,011,228",,,,,,,
GL,109.47,110.43,0.00 x 800,0.00 x 1100,106.00 - 110.43,87.87 - 123.85,"651,733","528,728",,,,,,,
BIO,464.82,465.26,0.00 x 800,0.00 x 800,461.11 - 468.42,344.63 - 607.54,"112,520","168,566",,,,,,,
GEN,17.16,17.08,0.00 x 1800,0.00 x 3200,16.80 - 17.19,15.52 - 27.33,"4,297,778","4,270,588",,,,,,,
LYV,69.31,69.42,0.00 x 1300,0.00 x 1000,68.03 - 69.64,64.25 - 114.84,"1,383,671","2,088,675",,,,,,,
TAP,52.12,52.40,0.00 x 900,0.00 x 1000,51.45 - 52.55,46.69 - 60.12,"1,534,498","1,656,753",,,,,,,
REG,61.25,61.29,0.00 x 1000,0.00 x 800,60.33 - 61.47,51.97 - 73.41,"927,067","960,103",,,,,,,
AAL,14.42,14.55,0.00 x 2200,0.00 x 3200,14.02 - 14.55,11.65 - 21.42,"16,124,091","24,363,696",,,,,,,
ALLE,106.06,105.98,0.00 x 800,100.52 x 1200,99.07 - 105.98,87.33 - 123.46,"1,291,958","763,773",,,,,,,
PNR,55.12,55.15,0.00 x 1200,0.00 x 1000,53.37 - 55.56,38.55 - 60.85,"1,111,731","1,711,883",,,,,,,
AOS,68.85,68.65,0.00 x 800,0.00 x 800,65.47 - 68.84,46.58 - 71.87,"1,141,169","1,182,380",,,,,,,
PNW,78.47,78.58,0.00 x 1200,0.00 x 800,77.84 - 78.84,59.03 - 80.60,"838,486","963,463",,,,,,,
RHI,79.62,79.87,0.00 x 1000,0.00 x 800,77.07 - 80.31,65.40 - 118.41,"593,661","1,021,778",,,,,,,
ROL,37.45,37.53,37.48 x 1200,37.49 x 1200,37.26 - 37.58,31.43 - 43.06,"1,370,488","1,349,851",,,,,,,
FFIV,144.67,145.29,0.00 x 800,0.00 x 900,144.02 - 146.08,133.68 - 214.61,"463,663","513,660",,,,,,,
XRAY,39.11,39.33,0.00 x 1100,0.00 x 800,38.92 - 39.49,26.48 - 49.38,"1,328,622","2,048,208",,,,,,,
BBWI,36.50,36.78,0.00 x 800,0.00 x 900,35.55 - 36.84,25.75 - 58.17,"2,891,399","3,026,690",,,,,,,
HII,209.00,208.73,0.00 x 1100,0.00 x 900,207.20 - 209.69,194.36 - 260.02,"549,846","428,298",,,,,,,
UHS,127.69,128.51,0.00 x 800,0.00 x 900,127.31 - 128.62,82.50 - 158.28,"426,021","638,685",,,,,,,
NRG,33.87,33.75,0.00 x 1100,0.00 x 900,33.04 - 33.85,30.25 - 47.82,"2,252,636","4,267,225",,,,,,,
WRK,30.52,30.49,0.00 x 1100,0.00 x 800,29.74 - 30.53,26.84 - 54.78,"1,773,155","2,408,285",,,,,,,
BEN,26.93,27.05,0.00 x 3000,0.00 x 3000,26.45 - 27.07,20.24 - 34.37,"2,777,365","4,053,495",,,,,,,
BXP,53.63,54.13,0.00 x 900,0.00 x 800,52.26 - 54.24,46.18 - 128.98,"1,888,414","1,748,300",,,,,,,
VFC,22.55,22.67,0.00 x 900,0.00 x 1100,22.00 - 22.78,20.03 - 58.88,"3,958,848","8,787,436",,,,,,,
AAP,122.69,122.70,0.00 x 1100,0.00 x 900,119.24 - 123.24,109.05 - 231.43,"879,675","1,375,136",,,,,,,
IVZ,16.20,16.29,0.00 x 1100,0.00 x 4000,15.68 - 16.31,13.20 - 22.36,"5,400,821","5,327,991",,,,,,,
FRT,98.73,99.20,0.00 x 900,0.00 x 1100,98.07 - 99.47,86.43 - 128.13,"602,902","577,125",,,,,,,
WHR,131.71,131.83,0.00 x 900,0.00 x 1000,128.76 - 131.83,124.10 - 199.07,"413,395","765,098",,,,,,,
SEE,45.87,45.91,0.00 x 800,0.00 x 900,45.31 - 45.91,41.24 - 69.97,"1,334,326","1,143,196",,,,,,,
NWSA,17.42,17.50,0.00 x 3200,0.00 x 1300,17.22 - 17.66,14.87 - 22.20,"2,904,636","2,937,521",,,,,,,
GNRC,108.53,108.59,0.00 x 1100,0.00 x 800,101.14 - 109.07,86.29 - 308.92,"1,581,298","1,334,821",,,,,,,
HAS,52.89,53.26,0.00 x 800,0.00 x 800,52.22 - 53.37,45.75 - 94.22,"1,342,911","2,057,258",,,,,,,
AIZ,118.80,118.99,0.00 x 900,0.00 x 800,115.83 - 119.33,104.49 - 194.12,"417,665","440,055",,,,,,,
OGN,23.53,23.65,0.00 x 1100,0.00 x 1000,22.85 - 23.73,20.96 - 39.09,"1,581,995","2,196,188",,,,,,,
DXC,25.33,25.43,0.00 x 800,0.00 x 900,24.67 - 25.50,22.46 - 36.00,"1,696,325","1,665,888",,,,,,,
CMA,42.20,42.76,0.00 x 800,0.00 x 800,39.39 - 42.79,29.17 - 91.33,"4,156,115","3,381,566",,,,,,,
NCLH,13.35,13.48,0.00 x 1100,0.00 x 3000,12.72 - 13.53,10.31 - 23.11,"12,521,694","14,944,898",,,,,,,
ALK,42.09,42.35,0.00 x 800,0.00 x 800,41.49 - 42.50,37.20 - 61.55,"2,026,799","1,557,935",,,,,,,
MHK,99.19,99.26,0.00 x 900,0.00 x 800,94.70 - 99.39,87.02 - 159.00,"525,532","571,301",,,,,,,
RL,117.52,118.17,0.00 x 800,118.16 x 800,114.99 - 118.17,82.23 - 128.94,"696,071","941,691",,,,,,,
NWL,12.45,12.50,0.00 x 3100,0.00 x 3100,11.99 - 12.56,11.25 - 24.70,"4,777,130","4,743,953",,,,,,,
DVA,81.69,82.09,0.00 x 900,0.00 x 800,80.94 - 82.31,65.28 - 124.81,"620,306","660,650",,,,,,,
ZION,29.12,29.17,0.00 x 900,0.00 x 800,26.88 - 29.33,22.55 - 66.90,"6,001,619","3,786,945",,,,,,,
FOX,31.37,31.47,0.00 x 800,0.00 x 1100,30.89 - 31.63,26.35 - 37.06,"698,516","1,212,443",,,,,,,
LNC,22.37,22.82,0.00 x 1100,0.00 x 800,21.00 - 22.90,19.74 - 69.91,"4,860,498","3,720,550",,,,,,,
FRC,14.60,14.44,0.00 x 1300,0.00 x 3000,13.51 - 14.46,11.52 - 171.09,"30,820,704","31,617,783",,,,,,,
DISH,9.05,9.13,0.00 x 3100,0.00 x 3200,8.52 - 9.15,8.43 - 33.74,"12,598,211","6,495,390",,,,,,,
NWS,17.60,17.67,0.00 x 4000,0.00 x 1400,17.40 - 17.85,15.15 - 22.46,"1,262,210","957,445",,,,,,,
