#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
273,Corning Inc,GLW,0.075331,33.68,0.83,(2.54%),2023-03-27,"2,024,790",1.54,2.50,21.37,13.15,3.41%,27.46B
274,Discover Financial Services,DFS,0.074682,94.43,1.58,(1.70%),2023-03-27,"889,692",15.45,14.01,6.01,6.63,2.58%,25.18B
275,West Pharmaceutical Services Inc.,WST,0.074555,336.17,1.87,(0.56%),2023-03-27,"174,306",7.66,8.45,43.67,39.58,0.23%,25.29B
276,T. Rowe Price Group,TROW,0.074105,109.14,-0.51,(-0.47%),2023-03-27,"444,507",6.69,7.28,16.40,15.07,4.45%,24.60B
277,Gartner Inc.,IT,0.073998,316.19,4.08,(1.31%),2023-03-27,"101,767",9.98,10.94,31.27,28.53,-,24.96B
278,Willis Towers Watson Public Limited Company,WTW,0.07363,227.5,1.28,(0.56%),2023-03-27,"334,079",9.48,17.21,23.87,13.14,1.49%,24.66B
279,Arch Capital Group Ltd.,ACGL,0.073479,66.23,0.18,(0.27%),2023-03-27,"1,025,386",3.81,6.72,17.35,9.83,-,25.65B
280,Equifax Inc.,EFX,0.072754,246.0,48.42,(24.51%),2023-03-27,"266,910",5.64,9.11,35.01,21.68,0.79%,24.18B
281,Constellation Energy Corporation,CEG,0.072216,74.49,1.05,(1.43%),2023-03-27,"1,677,929",-0.46,5.22,-,14.06,1.54%,24.54B
282,HP Inc.,HPQ,0.072173,27.28,-0.44,(-1.58%),2023-03-27,"2,333,507",2.51,3.60,11.04,7.71,3.79%,27.57B
283,Walgreens Boots Alliance Inc.,WBA,0.070596,33.09,0.39,(1.19%),2023-03-27,"4,450,837",-3.43,4.82,-,6.78,5.87%,28.63B
284,eBay Inc.,EBAY,0.069622,42.27,-0.39,(-0.90%),2023-03-27,"2,188,497",-2.14,4.53,-,9.42,2.34%,22.57B
285,Diamondback Energy Inc.,FANG,0.069435,129.04,3.62,(2.89%),2023-03-27,"787,389",24.74,23.23,5.07,5.40,7.62%,23.48B
286,Fortive Corp.,FTV,0.069422,66.01,0.75,(1.14%),2023-03-27,"1,343,519",2.10,3.66,31.14,17.82,0.43%,23.62B
287,Quanta Services Inc.,PWR,0.069216,163.05,2.27,(1.41%),2023-03-27,"417,539",3.32,8.06,48.40,19.94,0.20%,23.47B
288,Ingersoll Rand Inc.,IR,0.067129,55.84,0.81,(1.46%),2023-03-27,"1,217,491",1.44,2.82,38.27,19.53,0.15%,22.74B
289,Align Technology Inc.,ALGN,0.066903,306.56,-0.15,(-0.05%),2023-03-27,"358,037",4.60,9.74,66.69,31.50,-,23.90B
290,Genuine Parts Company,GPC,0.066713,159.19,2.31,(1.47%),2023-03-27,"647,566",8.31,9.54,18.88,16.45,2.42%,22.44B
291,Vulcan Materials Company,VMC,0.066441,166.15,-0.05,(-0.03%),2023-03-27,"371,306",4.45,7.30,37.36,22.75,1.03%,22.81B
292,AvalonBay Communities Inc.,AVB,0.066377,157.37,-0.37,(-0.23%),2023-03-27,"464,837",8.11,5.73,19.46,27.55,4.18%,22.61B
293,LyondellBasell Industries NV,LYB,0.066022,87.46,0.89,(1.03%),2023-03-27,"1,833,997",11.89,10.68,7.28,8.11,5.50%,28.34B
294,Monolithic Power Systems Inc.,MPWR,0.065433,483.13,-2.27,(-0.47%),2023-03-27,"213,367",9.05,15.66,53.64,30.99,0.82%,23.42B
295,CBRE Group Inc. Class A,CBRE,0.06543,69.54,0.68,(0.98%),2023-03-27,"1,031,281",4.27,5.83,16.12,11.82,-,21.83B
296,Ameren Corporation,AEE,0.065342,102.0,17.96,(21.37%),2023-03-27,"576,761",4.14,4.69,20.30,17.93,3.00%,22.29B
297,Insulet Corporation,PODD,0.065031,310.73,0.56,(0.18%),2023-03-27,"315,614",0.06,2.06,5538.75,150.71,-,21.80B
298,International Flavors & Fragrances Inc.,IFF,0.064616,91.55,7.28,(8.64%),2023-03-27,"1,220,927",-7.33,5.68,-,14.84,3.84%,21.74B
299,FirstEnergy Corp.,FE,0.063723,38.59,-0.59,(-1.49%),2023-03-27,"3,217,146",0.71,2.68,55.25,14.64,3.98%,22.62B
300,Entergy Corporation,ETR,0.063563,103.5,-0.19,(-0.18%),2023-03-27,"399,437",5.38,7.20,19.26,14.40,4.13%,22.20B
301,Weyerhaeuser Company,WY,0.063526,28.79,0.25,(0.86%),2023-03-27,"2,197,085",2.52,1.18,11.33,24.10,2.66%,21.29B
302,Hartford Financial Services Group Inc.,HIG,0.063254,70.0,3.88,(5.87%),2023-03-27,"862,694",5.45,9.63,12.13,6.86,2.57%,21.61B
303,Church & Dwight Co. Inc.,CHD,0.063166,86.17,0.19,(0.23%),2023-03-27,"547,207",1.68,3.29,51.21,26.12,1.27%,21.11B
304,Martin Marietta Materials Inc.,MLM,0.063001,275.0,-61.8,(-18.36%),2023-03-27,"149,095",13.70,17.19,24.59,19.60,0.78%,21.61B
305,First Solar Inc.,FSLR,0.062947,210.45,-0.65,(-0.31%),2023-03-27,"661,945",-0.42,12.79,-,16.50,-,23.29B
306,DTE Energy Company,DTE,0.062306,100.58,-6.17,(-5.78%),2023-03-27,"515,463",5.51,6.69,19.36,15.95,3.57%,22.40B
307,Extra Space Storage Inc.,EXR,0.061808,164.47,11.27,(7.36%),2023-03-27,"375,984",6.41,6.34,23.91,24.14,4.23%,20.74B
308,Delta Air Lines Inc.,DAL,0.061024,32.12,0.53,(1.66%),2023-03-27,"1,534,991",2.05,6.87,15.42,4.60,-,20.72B
