Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
CHTR,348.12,347.67,351.59 x 800,352.10 x 1000,342.95 - 354.49,297.66 - 572.08,"264,622","1,141,119"
IQV,196.70,195.07,196.92 x 1300,197.04 x 900,193.93 - 197.38,165.75 - 254.94,"307,268","983,868"
SPG,111.31,110.53,109.16 x 800,109.22 x 800,108.83 - 110.99,86.02 - 134.80,"561,860","1,693,991"
NUE,143.83,141.60,142.33 x 800,142.33 x 900,141.29 - 145.74,100.13 - 187.90,"845,779","1,870,203"
ILMN,230.22,230.49,230.60 x 1300,231.04 x 900,229.36 - 232.63,173.45 - 370.54,"273,850","1,383,495"
AFL,63.91,63.48,64.65 x 900,64.67 x 800,63.08 - 64.74,52.07 - 74.02,"599,030","2,706,755"
WMB,29.67,29.82,29.65 x 800,29.66 x 2200,29.52 - 29.84,27.80 - 37.97,"1,952,586","7,381,122"
CARR,42.89,43.18,42.45 x 1300,42.46 x 800,42.11 - 43.09,33.10 - 49.17,"2,632,008","4,525,752"
STZ,218.23,220.14,221.56 x 900,221.83 x 800,218.58 - 221.80,208.12 - 261.52,"609,936","1,375,442"
CNC,63.98,64.42,65.43 x 800,65.43 x 1000,63.83 - 65.79,61.71 - 98.53,"1,573,907","3,926,649"
PAYX,109.90,109.72,108.42 x 1200,108.46 x 900,108.05 - 110.15,105.66 - 141.92,"871,518","1,908,439"
KMI,17.48,17.55,17.55 x 4000,17.56 x 1000,17.42 - 17.58,15.78 - 20.20,"3,893,789","13,196,572"
DVN,52.74,52.80,52.72 x 1000,52.74 x 800,52.10 - 53.12,44.03 - 79.40,"3,640,879","10,550,547"
MTD,"1,529.54","1,520.60","1,532.57 x 800","1,538.08 x 800","1,510.01 - 1,542.28","1,065.55 - 1,609.25","24,245","90,078"
ED,96.02,96.81,98.38 x 1000,98.41 x 1000,96.69 - 98.76,78.10 - 102.21,"747,098","1,876,486"
ON,78.49,77.46,76.33 x 800,76.34 x 1000,75.42 - 77.87,44.76 - 87.55,"2,238,570","7,135,850"
OTIS,80.63,80.11,79.57 x 1400,79.60 x 800,79.32 - 80.45,62.49 - 87.33,"520,056","1,823,327"
WBD,15.15,14.99,14.80 x 3000,14.81 x 1100,14.66 - 15.00,8.82 - 27.50,"5,325,514","19,569,121"
WELL,70.38,70.35,71.00 x 800,71.00 x 1000,70.34 - 71.26,56.50 - 98.42,"487,178","2,320,749"
EA,125.24,125.24,125.51 x 900,125.54 x 900,124.85 - 126.25,108.53 - 142.79,"647,459","2,603,050"
CMI,231.90,229.64,219.29 x 800,219.47 x 900,218.17 - 231.01,184.28 - 261.91,"723,718","1,049,340"
BK,44.68,44.13,44.67 x 2200,44.68 x 1100,44.10 - 44.96,36.22 - 52.26,"1,207,127","5,992,754"
