Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
LNT,52.91,53.08,45.00 x 800,65.00 x 800,52.82 - 53.63,47.19 - 65.37,"1,495,441","1,547,969",,,,,,,
INCY,71.04,71.17,71.33 x 1100,74.17 x 800,70.96 - 72.37,65.07 - 86.29,"1,960,931","1,690,801",,,,,,,
ESS,204.18,205.42,171.49 x 800,228.79 x 800,204.62 - 209.39,195.03 - 363.36,"597,827","550,530",,,,,,,
PHM,56.78,56.80,58.24 x 800,58.39 x 800,56.84 - 58.37,35.03 - 60.89,"2,728,835","2,668,501",,,,,,,
POOL,335.12,338.50,341.09 x 1000,547.72 x 900,335.86 - 344.48,278.10 - 473.98,"485,949","427,869",,,,,,,
PKG,137.58,138.31,135.68 x 800,145.00 x 800,138.07 - 139.09,110.56 - 168.50,"572,112","744,820",,,,,,,
SNA,241.91,243.34,238.32 x 800,248.00 x 800,242.38 - 247.02,190.08 - 259.78,"274,970","303,106",,,,,,,
TRMB,51.31,51.57,50.57 x 800,52.61 x 800,51.49 - 52.47,47.09 - 74.87,"1,580,585","1,283,912",,,,,,,
IP,35.24,35.53,36.10 x 2200,36.59 x 1300,35.49 - 36.13,30.69 - 50.23,"3,611,463","3,207,819",,,,,,,
STX,64.98,64.94,66.12 x 1100,66.66 x 1000,64.78 - 66.21,47.47 - 91.80,"2,096,921","2,566,406",,,,,,,
WRB,62.00,62.54,56.33 x 1200,72.00 x 900,61.95 - 62.52,58.92 - 76.99,"2,116,700","1,502,653",,,,,,,
SYF,28.55,28.69,29.12 x 1100,29.52 x 3200,28.29 - 29.16,27.15 - 41.88,"5,427,467","5,841,929",,,,,,,
LDOS,91.59,92.03,90.89 x 1000,94.56 x 1800,91.74 - 92.40,87.24 - 111.12,"1,116,154","928,825",,,,,,,
UDR,39.88,40.18,40.58 x 800,41.59 x 900,40.07 - 41.09,37.18 - 60.01,"3,070,305","2,544,851",,,,,,,
AKAM,76.55,76.85,78.20 x 800,78.48 x 900,76.76 - 78.40,70.65 - 123.25,"1,406,429","1,708,809",,,,,,,
WDC,37.28,37.03,37.70 x 1300,37.87 x 3100,36.86 - 37.97,29.73 - 63.26,"2,565,216","4,497,820",,,,,,,
PEAK,21.69,21.61,21.36 x 1400,22.65 x 2900,21.43 - 21.98,20.21 - 35.72,"7,373,042","4,529,377",,,,,,,
NDSN,218.81,220.04,218.23 x 1000,225.96 x 900,219.68 - 222.68,194.89 - 251.26,"253,454","278,182",,,,,,,
DPZ,327.65,327.55,329.41 x 800,330.70 x 900,327.48 - 332.54,291.00 - 426.44,"1,087,123","826,522",,,,,,,
TFX,248.95,250.00,244.48 x 900,258.37 x 800,248.91 - 253.63,182.65 - 356.72,"211,872","345,803",,,,,,,
CTLT,64.67,65.08,65.23 x 800,68.57 x 800,64.51 - 66.00,40.69 - 115.33,"1,069,895","2,355,553",,,,,,,
VTRS,9.56,9.59,9.58 x 800,9.71 x 900,9.56 - 9.71,8.42 - 12.40,"13,248,480","9,401,767",,,,,,,
KEY,12.38,12.54,12.45 x 3000,12.51 x 800,12.06 - 12.57,9.61 - 22.17,"13,592,649","20,197,656",,,,,,,
APA,35.38,35.76,35.52 x 800,36.06 x 1100,35.41 - 36.08,30.15 - 51.95,"6,416,333","6,145,412",,,,,,,
KIM,18.81,18.94,19.54 x 3100,20.90 x 1300,18.91 - 19.55,17.34 - 26.57,"6,316,840","4,762,977",,,,,,,
BWA,48.21,48.51,48.53 x 1300,49.63 x 800,48.48 - 49.19,31.14 - 51.14,"1,393,708","2,056,969",,,,,,,
BF.B,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SWK,77.76,78.45,80.30 x 800,80.79 x 2200,78.19 - 80.73,70.24 - 147.37,"1,427,717","1,917,611",,,,,,,
TECH,72.43,72.95,72.63 x 1000,76.26 x 1000,72.85 - 74.30,68.00 - 113.81,"596,695","982,908",,,,,,,
WYNN,109.00,109.46,111.41 x 900,112.20 x 1100,109.46 - 112.04,50.20 - 116.51,"3,748,984","2,585,932",,,,,,,
CPT,103.21,103.77,85.00 x 800,113.13 x 800,103.08 - 104.94,97.74 - 175.69,"902,137","928,011",,,,,,,
EQT,31.29,31.81,31.68 x 1100,32.08 x 1000,31.60 - 32.43,28.11 - 51.97,"5,194,012","7,073,988",,,,,,,
CHRW,96.65,97.08,98.98 x 800,102.12 x 800,96.84 - 99.61,86.60 - 121.23,"1,117,246","1,507,977",,,,,,,
HRL,39.24,39.36,39.88 x 2200,42.00 x 1300,39.39 - 39.90,37.78 - 55.11,"3,059,252","1,952,290",,,,,,,
HST,15.79,15.95,16.15 x 4000,16.67 x 3000,15.88 - 16.54,14.51 - 21.63,"10,637,553","7,661,301",,,,,,,
NI,27.84,27.94,25.00 x 4000,28.40 x 1200,27.65 - 28.03,23.78 - 32.59,"4,280,969","3,927,035",,,,,,,
L,57.30,57.68,58.02 x 800,59.49 x 800,57.59 - 58.14,49.36 - 68.20,"1,295,918","898,785",,,,,,,
CPB,54.40,54.53,54.98 x 800,55.53 x 900,54.42 - 55.03,44.05 - 57.78,"1,979,700","2,436,141",,,,,,,
JNPR,34.04,34.06,34.00 x 1200,34.53 x 1300,34.01 - 34.47,25.18 - 37.18,"2,590,442","3,767,272",,,,,,,
PARA,21.71,21.84,22.31 x 3200,22.35 x 1200,21.75 - 22.34,15.29 - 38.04,"9,649,699","11,361,230",,,,,,,
