#,Company,Symbol,Weight,Price,Chg,% Chg
279,T. Rowe Price Group,TROW,0.076252,105.28,0.25,(0.24%)
280,Diamondback Energy Inc.,FANG,0.075563,136.85,0.94,(0.69%)
281,American Water Works Company Inc.,AWK,0.075381,134.0,0.35,(0.26%)
282,Delta Air Lines Inc.,DAL,0.074084,37.25,0.0,(0.00%)
283,AmerisourceBergen Corporation,ABC,0.074061,149.6,0.0,(0.00%)
284,Equifax Inc.,EFX,0.073588,193.14,0.0,(0.00%)
285,AvalonBay Communities Inc.,AVB,0.072923,165.3,-0.23,(-0.14%)
286,Walgreens Boots Alliance Inc.,WBA,0.072838,33.37,0.11,(0.33%)
287,eBay Inc.,EBAY,0.071709,42.1,0.06,(0.14%)
288,M&T Bank Corporation,MTB,0.071341,132.56,0.84,(0.64%)
289,Fortive Corp.,FTV,0.071324,64.42,0.0,(0.00%)
290,Genuine Parts Company,GPC,0.071198,165.43,2.44,(1.50%)
291,Align Technology Inc.,ALGN,0.071108,313.9,1.11,(0.35%)
292,Ingersoll Rand Inc.,IR,0.070838,55.74,0.0,(0.00%)
293,Hartford Financial Services Group Inc.,HIG,0.070798,70.2,0.0,(0.00%)
294,Vulcan Materials Company,VMC,0.070525,170.36,1.07,(0.63%)
295,LyondellBasell Industries NV,LYB,0.070459,88.93,0.0,(0.00%)
296,West Pharmaceutical Services Inc.,WST,0.070141,314.55,0.0,(0.00%)
297,Quanta Services Inc.,PWR,0.069084,158.56,1.21,(0.77%)
298,Weyerhaeuser Company,WY,0.06865,29.86,0.0,(0.00%)
299,International Flavors & Fragrances Inc.,IFF,0.066884,86.88,2.24,(2.65%)
300,Martin Marietta Materials Inc.,MLM,0.066488,341.02,0.0,(0.00%)
301,Monolithic Power Systems Inc.,MPWR,0.066409,478.0,-0.95,(-0.20%)
302,Fifth Third Bancorp,FITB,0.066307,30.58,0.21,(0.69%)
303,Ameren Corporation,AEE,0.065135,81.05,0.0,(0.00%)
304,Dover Corporation,DOV,0.065063,145.8,0.0,(0.00%)
305,Steel Dynamics Inc.,STLD,0.064857,120.5,0.14,(0.12%)
306,Extra Space Storage Inc.,EXR,0.064555,153.55,0.0,(0.00%)
307,FirstEnergy Corp.,FE,0.064548,38.09,0.0,(0.00%)
308,First Solar Inc.,FSLR,0.063841,208.0,0.27,(0.13%)
309,Entergy Corporation,ETR,0.063321,101.35,0.73,(0.73%)
310,Alexandria Real Estate Equities Inc.,ARE,0.062409,128.0,1.2,(0.95%)
311,Equity Residential,EQR,0.062374,59.99,1.52,(2.60%)
312,DTE Energy Company,DTE,0.06223,104.48,0.0,(0.00%)
313,Laboratory Corporation of America Holdings,LH,0.061611,222.58,0.0,(0.00%)
314,Church & Dwight Co. Inc.,CHD,0.061502,83.88,0.0,(0.00%)
315,Coterra Energy Inc.,CTRA,0.060634,24.75,0.16,(0.65%)
316,Huntington Bancshares Incorporated,HBAN,0.05988,13.42,0.05,(0.37%)
317,Southwest Airlines Co.,LUV,0.059873,32.89,0.12,(0.37%)
318,Hologic Inc.,HOLX,0.059749,77.68,0.0,(0.00%)
319,Baxter International Inc.,BAX,0.059436,38.19,0.17,(0.45%)
320,PPL Corporation,PPL,0.059366,26.45,0.2,(0.76%)
321,Teledyne Technologies Incorporated,TDY,0.059203,412.55,0.0,(0.00%)
322,Regions Financial Corporation,RF,0.059086,20.91,0.63,(3.11%)
323,Raymond James Financial Inc.,RJF,0.058935,94.85,0.0,(0.00%)
324,Hewlett Packard Enterprise Co.,HPE,0.05783,14.31,-0.02,(-0.14%)
325,Cardinal Health Inc.,CAH,0.056963,71.25,0.06,(0.08%)
326,Westinghouse Air Brake Technologies Corporation,WAB,0.05674,99.96,0.0,(0.00%)
327,Las Vegas Sands Corp.,LVS,0.056402,56.23,0.02,(0.04%)
328,Waters Corporation,WAT,0.05626,304.96,0.0,(0.00%)
329,Ventas Inc.,VTR,0.056061,44.66,0.0,(0.00%)
330,Nasdaq Inc.,NDAQ,0.055927,53.0,0.4,(0.76%)
331,VeriSign Inc.,VRSN,0.055595,191.1,-0.1,(-0.05%)
